2.72	0.027343	54.686203
2.73	0.027343	54.686203
2.74	0.027343	54.686203
2.75	0.027343	54.686203
2.76	0.027343	54.686203
2.77	0.027343	54.686203
2.78	0.027343	54.686203
2.79	0.027343	54.686203
2.8	0.027343	54.686203
2.81	0.027343	54.686203
2.82	0.027282	54.564103
2.83	0.027343	54.686203
2.84	0.027343	54.686203
2.85	0.027343	54.686203
2.86	0.027343	54.686203
2.87	0.027282	54.564103
2.88	0.027282	54.564103
2.89	0.027343	54.686203
2.9	0.027282	54.564103
2.91	0.027343	54.686203
2.92	0.027343	54.686203
2.93	0.027282	54.564103
2.94	0.027282	54.564103
2.95	0.027282	54.564103
2.96	0.027282	54.564103
2.97	0.027282	54.564103
2.98	0.027343	54.686203
2.99	0.027282	54.564103
